Latitude,Longitude,County,id
39.71,-122.74,Agua Caliente Indian Reservation,1
36.4,-117.02,Alameda  ,2
34.24,-117.86,Alpine  ,3
40.31,-123.17,Amador  ,4
34.15,-118.33,Butte  ,5
37.93,-122.32,Cahuilla Indian Reservation,6
35.43,-116.57,Calaveras  ,7
32.71,-117.16,Campo Indian Reservation,8
37.95,-121.29,Colusa  ,9
32.79,-114.65,Contra Costa  ,10
35.13,-119.45,Del Norte  ,11
35.13,-119.46,El Dorado  ,12
33.92,-114.67,Fresno  ,13
34.7,-120.59,Glenn  ,14
33.35,-115.73,Hoopa Valley Indian Reservation,15
35.07,-119.45,Hopland Rancheria (Indian Reservation),16
32.93,-115.88,Humboldt  ,17
38.56,-121.36,Imperial  ,18
37.78,-122.41,Inyo  ,19
38.58,-121.52,Karuk Reservation,20
36,-116.22,Kern  ,21
35.35,-118.98,Kings  ,22
41.5,-121.76,La Jolla Indian Reservation,23
36.72,-119.78,Lake  ,24
41.54,-120.87,Lassen  ,25
34.59,-117.37,Los Angeles  ,26
35.32,-118.99,Madera  ,27
41.32,-123.85,Marin  ,28
35.17,-119.48,Mariposa  ,29
35.52,-119.28,Mendocino  ,30
34.4,-119.85,Merced  ,31
40.4,-123.08,Modoc  ,32
37.93,-122.37,Mono  ,33
36.55,-120.51,Monterey  ,34
34.02,-118.28,Morongo Indian Reservation,35
36.44,-119.97,Napa  ,36
39.5,-121.54,Nevada  ,37
35.33,-119.01,Orange  ,38
36.74,-119.79,Placer  ,39
35,-117.65,Plumas  ,40
33.19,-115.46,Resighini Rancheria (Indian Reservation),41
40.98,-120.38,Riverside  ,42
34.91,-115.53,Rohnerville Rancheria (Indian Reservation),43
37.39,-122.06,Sacramento  ,44
35.54,-117.29,San Benito  ,45
36.13,-119.13,San Bernardino  ,46
34.2,-115.85,San Diego  ,47
40.16,-123.22,San Francisco  ,48
36.3,-119.21,San Joaquin  ,49
36.06,-119.14,San Luis Obispo  ,50
36.48,-119.44,San Mateo  ,51
39.48,-121.55,Santa Barbara  ,52
35.63,-117.66,Santa Clara  ,53
36.08,-119.56,Santa Cruz  ,54
39.48,-121.57,Shasta  ,55
35.37,-118.97,Sierra  ,56
35.36,-119,Siskiyou  ,57
